payload,label,attack_type,variant_type,encoding_type,template_id,normalized_hash,payload_hash,length
title%253DBook%2526submit%253DSearch,0,normal,standard,double_encoded,NORMAL_006,11e8e66b4274d7e5b9469c76354c7c1d,18c71b0b26ef0d58920ab41626867875,36
tag=tutorial,0,normal,standard,raw,NORMAL_008,e948e4ddcd881fafa196ba4cf40d55da,e948e4ddcd881fafa196ba4cf40d55da,12
product_id=28&qty=1,0,normal,standard,raw,NORMAL_012,0b7bbb7506516c821b91459bf25ea36c,0b7bbb7506516c821b91459bf25ea36c,19
id=30&Submit=Submit,0,normal,standard,partially_encoded,NORMAL_001,a958fe6a815f1e77fa548fca045a3a19,ce734ba69826f268d897fafd053517e5,19
name%3DJohn+Doe&email%3Djohn%40example.com,0,normal,standard,partially_encoded,NORMAL_015,ba50f1ffcadb81b17fb2a8141eabf992,179c90cfd111895b6ba2e9c2aff612e3,42
article_id%3D40%26author%3Dalice,0,normal,standard,url_encoded,NORMAL_010,0a25f2b2e9d62b5c19e2bfa8a368151f,d43196cb2548075f8a1b3865e36e8ff1,32
category%3Dhome%26sort%3Dname_asc,0,normal,standard,url_encoded,NORMAL_004,e796d167ae7b7a72649621bc63cd9404,fa7542460d3041e6b3baaa467aa79a05,33
id%3D26%26Submit%3DSubmit,0,normal,standard,url_encoded,NORMAL_001,4f21a8fe13c8c2e923f972775073e87d,ff7ac0503bec9a76fd42a7d38a8f2dd2,25
filter=active&page=16,0,normal,standard,raw,NORMAL_009,e91e87b64e44ec4a7aae44baa99e744f,e91e87b64e44ec4a7aae44baa99e744f,21
product_id%253D34%2526qty%253D1,0,normal,standard,double_encoded,NORMAL_012,636b0d98a89ee463a3ca392a92b4c8cf,1f1ff89b85e7dba864e5e5bb617372b5,31
user=bob_smith,0,normal,standard,raw,NORMAL_005,90641591fa0825cebc7ffb947ef0da2c,90641591fa0825cebc7ffb947ef0da2c,14
id=10&Submit=Submit,0,normal,standard,raw,NORMAL_001,fcc0463b6bdc82bfd831cd9ee537ec11,711dadccf4b099f8bbd3606e09d8a841,19
filter%3Dactive%26page%3D5,0,normal,standard,url_encoded,NORMAL_009,b56a237c29dd8c4b67823c438625a02f,ee22df33ef1af40d140d694f1c9c7516,26
filter%3Dactive%26page%3D18,0,normal,standard,url_encoded,NORMAL_009,de91e03e8ac1c0128b8715340279c6a7,44af69dd3df3b0fcfac8a365776c973f,27
query=web_app&lang=en,0,normal,standard,raw,NORMAL_011,f9485c9558b28249b3c5e091addd130b,f9485c9558b28249b3c5e091addd130b,21
search=python,0,normal,standard,raw,NORMAL_003,e3ab53308ef37e003b1b634b0c96544a,e3ab53308ef37e003b1b634b0c96544a,13
category%3Dbooks%26sort%3Dprice_asc,0,normal,standard,url_encoded,NORMAL_004,6adcd3cf9b3979750f936ff7b3566c4b,65cf217882366e5bae9c269ceae606b7,35
page=26&limit%3D10,0,normal,standard,partially_encoded,NORMAL_002,4a7159716e2c66b58b852269e91f88ad,b25d3a8c12541cc35bda28b9b791f4ff,18
id%3D44%26Submit%3DSubmit,0,normal,standard,url_encoded,NORMAL_001,48385bc9f93c5d59465931cf28530ed5,cef8ed9f16a1bd6ce41698dc128ab89c,25
query%253Dbook%2526lang%253Den,0,normal,standard,double_encoded,NORMAL_011,8a942a7a28f9908c0ad440affdf01b63,9b12d9951d8defe58fb0f4d3080bc9bd,30
search%3Dcybersecurity,0,normal,standard,partially_encoded,NORMAL_003,e993fa9cde6253abaf286ddbbfedeabe,1cc59927dd6894b33f468286c4bcd4c0,22
article_id%3D32%26author%3Dalice,0,normal,standard,url_encoded,NORMAL_010,f54cdff78cec004d326aa2e3d5e315ee,f77dffa145eede1865b6f198412331f6,32
title%3DWeb_app%26submit%3DSearch,0,normal,standard,url_encoded,NORMAL_006,eec463de7d192726c817c647eb48de31,7d12a0132c406d55f1c77628e2ba9d9f,33
product_id=43&qty=1,0,normal,standard,raw,NORMAL_012,d7125dc54a7ec34fbc58b4026927218d,d7125dc54a7ec34fbc58b4026927218d,19
search=cybersecurity,0,normal,standard,raw,NORMAL_003,3f88faf595a594b0b10504d85894540a,3f88faf595a594b0b10504d85894540a,20
user%253Dguest,0,normal,standard,double_encoded,NORMAL_005,f7a3434d9fe7026774fec5fdaa4b8e62,dee78985de19de7e9d5891f41375387a,14
page=3&limit=10,0,normal,standard,raw,NORMAL_002,befd2e428a076f2411ea89a0ef1d8ab6,befd2e428a076f2411ea89a0ef1d8ab6,15
title%253DMachine_learning%2526submit%253DSearch,0,normal,standard,double_encoded,NORMAL_006,da90fad72b0370cdee225e9fa8796ddc,17b4926a9fc7c0f499dcc7aac27c45c1,48
search%3Dpython,0,normal,standard,partially_encoded,NORMAL_003,f67e45a235d08e5bf6cc9d7a0c74eacd,2f89484feab7f374fd53f2f1c021d469,15
book_title=O'Connor's+Guide,0,normal,standard,raw,NORMAL_013,951370c123e030d14d618639ddd58e01,38b30641133000c7ae92cd69ed68d1c5,27
filter=active&page=13,0,normal,standard,raw,NORMAL_009,b15ca67d8d24f7b137c00c88bf3a03e7,b15ca67d8d24f7b137c00c88bf3a03e7,21
page%3D1&limit=10,0,normal,standard,partially_encoded,NORMAL_002,57964a380e56f4e989b92edafc1e0e7d,f2e3605e29bd157d5289ec6540fe7b96,17
query=laptop&lang=en,0,normal,standard,raw,NORMAL_011,a7d291c75b96d2e37e1d699b659885ba,a7d291c75b96d2e37e1d699b659885ba,20
product_id=20&qty=1,0,normal,standard,raw,NORMAL_012,47cd9c4b7d283d1dfdd5e3ee44c3aa42,47cd9c4b7d283d1dfdd5e3ee44c3aa42,19
tag%253Dtech,0,normal,standard,double_encoded,NORMAL_008,34ac78da60a87e5d777e01fe68c47b66,73ef76b0ffb086de9e91687af4667224,12
article_id=44&author%3Dguest,0,normal,standard,partially_encoded,NORMAL_010,4f1dc9005436a187198e1a727c682290,c77ad0b67388fd9d1ca528c56b07d412,28
category%3Dsports%26sort%3Dpopularity,0,normal,standard,url_encoded,NORMAL_004,bf115abd7326568db0687085073f5daa,1ebb2c15ca73d4c01fe83302e531d9fa,37
query%3Dmachine_learning&lang%3Den,0,normal,standard,partially_encoded,NORMAL_011,c150802068fc6e9cb94962deccbea0d4,93436b192772553ad34378eae0a51f66,34
category%3Dclothing%26sort%3Dprice_desc,0,normal,standard,url_encoded,NORMAL_004,f8ad0cd429799fb0c7b7d4cf0cd5a51d,621f46875a59c9d8cb58bd3ce81ac1cc,39
tag=security,0,normal,standard,raw,NORMAL_008,a05428ca14dae809d3407cd5bb7d9828,a05428ca14dae809d3407cd5bb7d9828,12
title%3DBook&submit%3DSearch,0,normal,standard,partially_encoded,NORMAL_006,cac4e4c47faef6e33ab42af41099179e,370b9b01d8c403257e62122d079a7242,28
article_id%3D29%26author%3Dalice,0,normal,standard,url_encoded,NORMAL_010,ca5ff9779f086cc54a995d87c890e522,c63fef49f7c20768ac10a846d19abac3,32
title%3DPhone&submit=Search,0,normal,standard,partially_encoded,NORMAL_006,ec6f029d340d7a546f0d99ed8f56b9a7,41b239a3b06208159d6b5ea9e4aa2512,27
search%3Dlaptop,0,normal,standard,partially_encoded,NORMAL_003,47ea910c51215f62f9aa4c148d26d5b5,07d58fabcaef0399b1c034d32353ea72,15
title=Machine_learning&submit=Search,0,normal,standard,partially_encoded,NORMAL_006,6af06dfdc3471e8c895666c447a29d24,3da6111f9579ce1a3dc918c12aae33b4,36
category%3Dclothing%26sort%3Dnewest,0,normal,standard,url_encoded,NORMAL_004,e7382fb26e29f2fdfe9fec2a51c0e93b,22a6e21afbfab77af3c0546973d29a84,35
tag%253Dsecurity,0,normal,standard,double_encoded,NORMAL_008,d0d640afeda7eafb8b1948e37ffbf991,89066fa051e2913062f5db184a5bdda8,16
product_id%3D37&qty=1,0,normal,standard,partially_encoded,NORMAL_012,f3c45a2bc7b162be6e674b3463ae54e2,b040f7f2eba9e25b82e8d9f750414541,21
id=48&Submit=Submit,0,normal,standard,raw,NORMAL_001,16bf18aa38a3c08f598e6d591127fd6a,ba874bd76bdd8cc3803cf3bc03cf24aa,19
search%3Dbook,0,normal,standard,partially_encoded,NORMAL_003,64b4d66ba0bc036b03ea73d6b39f8ab2,69f572d80ea6be7f5aa6f28cbc513fa7,13
